entry_date,exit_date,direction,qty,entry_price,exit_price,stop_loss,take_profit,pnl,status,confluence,factors
2025-08-20 12:00:00+00:00,2025-08-22 12:00:00+00:00,SHORT,2.0885,31.8169,32.074,32.0676,31.3992,-0.54,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|FVG_zone
2025-08-21 16:00:00+00:00,2025-08-22 12:00:00+00:00,SHORT,2.0879,31.7819,32.039,32.0326,31.3641,-0.54,CLOSED,2,EMA_trend|RSI_filter
2025-08-25 16:00:00+00:00,2025-08-28 16:00:00+00:00,LONG,1.643,32.1945,32.6111,31.9406,32.6176,0.68,CLOSED,4,EMA_trend|EMA_cross|RSI_filter|MACD_confirm
2025-08-27 12:00:00+00:00,2025-08-29 12:00:00+00:00,LONG,2.063,32.2868,32.6915,32.0401,32.698,0.83,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2025-08-28 16:00:00+00:00,2025-09-02 12:00:00+00:00,LONG,2.5336,32.5939,32.984,32.3559,32.9906,0.99,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2025-09-02 12:00:00+00:00,2025-09-02 16:00:00+00:00,LONG,3.1283,33.2881,33.6848,33.046,33.6916,1.24,CLOSED,2,EMA_trend|MACD_confirm
2025-09-03 16:00:00+00:00,2025-09-04 12:00:00+00:00,LONG,3.1945,34.066,33.7509,33.7577,34.5798,-1.01,CLOSED,2,EMA_trend|MACD_confirm
2025-09-22 12:00:00+00:00,2025-09-23 12:00:00+00:00,LONG,2.6959,35.536,36.0715,35.2105,36.0787,1.44,CLOSED,3,EMA_trend|RSI_filter|Order_Block
2025-10-02 16:00:00+00:00,2025-10-06 12:00:00+00:00,LONG,2.325,36.6824,37.4085,36.2422,37.416,1.69,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2025-10-08 12:00:00+00:00,2025-10-09 16:00:00+00:00,LONG,2.7071,38.5722,38.123,38.1306,39.3082,-1.22,CLOSED,3,EMA_trend|MACD_confirm|Order_Block
